,hospital_id,hospital_name,id,rating,timeElapsed,language,text,attributes,likeCount,sentiment,overall_sentiment,cleaned_reviews,theme,theme_name
0,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSUNOZ09uZDZBRRAB,2,"{'value': 6, 'unit': 'month'}",en,"Kenyatta National Hospital provides a pleasant environment and boasts highly qualified doctors, ensuring quality medical care. However, the inconsistency in staff behavior is a notable issue, with some being friendly while others display rudeness toward patients. Despite its status as a National referral hospital, the limited operating hours of the outpatient wing from 8:00 am to 6:00 pm contribute to excessively long queues and extended waiting times. Patients often arrive as early as 5:00 am, highlighting the demand for services outside these hours. Activating a 24-hour working mode for outpatient services would be a prudent step to alleviate these challenges and enhance accessibility for the community. Overall, the hospital's positive attributes in terms of environment and doctor qualifications should be complemented by addressing operational hours and staff conduct to ensure a more holistic patient experience.",{},4.0,0.9282,positive,kenyatta national hospital provides pleasant environment boast highly qualified doctor ensuring quality medical care however inconsistency staff behavior notable issue friendly others display rudeness toward patient despite status national referral hospital limited operating hour outpatient wing eight 00 six 00 pm contribute excessively long queue extended waiting time patient often arrive early five 00 highlighting demand service outside hour activating twenty - four - hour working mode outpatient service would prudent step alleviate challenge enhance accessibility community overall hospital positive attribute term environment doctor qualification complemented addressing operational hour staff conduct ensure holistic patient experience,0,Hospital Services
1,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChZDSUhNMG9nS0VJQ0FnSUMxMC1yR1p3EAE,3,"{'value': 7, 'unit': 'month'}",en,"I must commend Kenyatta National Hospital for housing exceptional doctors who exhibit commendable expertise and professionalism. The medical care provided is of high quality, and I have confidence in the competence of the healthcare professionals.

However, my overall experience as a patient was significantly marred by the hospital's operational inefficiencies and lackluster patient services. One glaring issue is the inconvenience faced when dealing with patients who are bedridden or unable to walk. The absence of readily available beds or wheelchairs creates a frustrating scenario where one has to navigate the hospital in search of essential mobility aids.

The ergonomic design of the hospital seems counterintuitive, especially when compared to other reputable medical facilities. This layout flaw can be distressing for patients and their caregivers, impacting the overall patient experience negatively.

Another notable shortcoming is the disjointed process of obtaining medicines. Having to order medications from a pharmacy located a considerable distance away, followed by a separate journey to one of the few pay kiosks, presents a logistical challenge. The long distances and the limited number of payment points contribute to overcrowding and inefficiency, causing unnecessary delays and frustration for patients and their families.

In summary, while the medical expertise at Kenyatta National Hospital is commendable, there is a pressing need for improvement in the hospital's overall patient experience. Addressing issues related to patient mobility, ergonomics, and streamlining the pharmacy payment process would undoubtedly contribute to a more efficient and compassionate healthcare environment. The hospital has the potential to offer a seamless and patient-centric experience with a strategic focus on these areas of improvement.",{},1.0,0.8707,positive,must commend kenyatta national hospital housing exceptional doctor exhibit commendable expertise professionalism medical care provided high quality confidence competence healthcare professional however overall experience patient significantly marred hospital operational inefficiency lackluster patient service one glaring issue inconvenience faced dealing patient bedridden unable walk absence readily available bed wheelchair creates frustrating scenario one navigate hospital search essential mobility aid ergonomic design hospital seems counterintuitive especially compared reputable medical facility layout flaw distressing patient caregiver impacting overall patient experience negatively another notable shortcoming disjointed process obtaining medicine order medication pharmacy located considerable distance away followed separate journey one pay kiosk present logistical challenge long distance limited number payment point contribute overcrowding inefficiency causing unnecessary delay frustration patient family summary medical expertise kenyatta national hospital commendable pressing need improvement hospital overall patient experience addressing issue related patient mobility ergonomics streamlining pharmacy payment process would undoubtedly contribute efficient compassionate healthcare environment hospital potential offer seamless patient - centric experience strategic focus area improvement,4,Staff and Care Quality 
2,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSURqLU0yYXdRRRAB,5,"{'value': 3, 'unit': 'month'}",en,"It's the best public hospital within the country. GREAT services and the doctors in different divisions are competent with great experience. Though, hospitality in the general hospital is poor compared to private hospitals around that area.",{},,0.9236,positive,best public hospital within country great service doctor different division competent great experience though hospitality general hospital poor compared private hospital around area,0,Hospital Services
3,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSUMtb2NUZ3lBRRAB,3,"{'value': 1, 'unit': 'year'}",en,The hospital is huge and expansive. The aesthetics are not at all the priority of the hospital though it is the largest referral hospital in the country. It is a respectable institution.,{},4.0,0.6369,positive,hospital huge expansive aesthetic priority hospital though largest referral hospital country respectable institution,4,Staff and Care Quality 
4,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSUQ5MkpYZDdnRRAB,1,"{'value': 5, 'unit': 'month'}",en,"There's a story that was on telly a few years back on how patients would be on corridors for days waiting to get admitted at KNH without getting a bed. The patients needed urgent medical attention... and the then me, brushed this aside as lies coz I mean, how can a hospital do that? Fast forward to 5th March around noon, I took my 4 month old baby there who was convulsing and had to wait till 11:30pm to get a bed, let alone get admitted. As my baby kept getting convulsion after convulsion, my heart sank. There's a time I watched it happen coz trying to call the doctor who was just in the next consultation room proved useless. Huku, ndo ata upate attention ya daktari ni kujuana. If you don't even know nani wa kupewa kitu kidogo, utangoja hadi wachoke na wewe ndo wakutafutie kitanda! We were at the private wing for slightly over a week and the bill hit the roof with exaggerated figures, cooked numbers and duplicated items. Following up with the Accounts guys turned out to be a wild goose chase. The doctors take their sweet time to ensure you stay for the longest time possible; such a shame! Something that's supposed to take a day will be dragged for at least 3 days. The younger nurses are however really good; then there are the older ones that even shake when administering medication. I thank God my baby got well, but my overall customer experience was simply awful.",{},2.0,-0.4656,negative,story telly year back patient would corridor day waiting get admitted knh without getting bed patient needed urgent medical attention ... brushed aside lie coz mean hospital fast forward five th march around noon took four month old baby convulsing wait till eleven 30 pm get bed let alone get admitted baby kept getting convulsion convulsion heart sank time watched happen coz trying call doctor next consultation room proved useless huku ndo ata upate attention ya daktari ni kujuana even know nani wa kupewa kitu kidogo utangoja hadi wachoke na wewe ndo wakutafutie kitanda private wing slightly week bill hit roof exaggerated figure cooked number duplicated item following account guy turned wild goose chase doctor take sweet time ensure stay longest time possible shame something supposed take day dragged least three day younger nurse however really good older one even shake administering medication thank god baby got well overall customer experience simply awful,0,Hospital Services
5,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSURoN2NEdnd3RRAB,3,"{'value': 1, 'unit': 'year'}",en,"Hospital includes a great capability and know how where such great Human Resources need financial resources to keep using latest technologies
Accessible and there is parking space close to the building
Seating area need to be better and we need more space
Some new affordable practices could improve the experience",{},3.0,0.9325,positive,hospital includes great capability know great human resource need financial resource keep using latest technology accessible parking space close building seating area need better need space new affordable practice could improve experience,2,Facility Feedback
6,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSURCeU5PbG93RRAB,5,"{'value': 1, 'unit': 'year'}",en,Went here with an organisation called Gold Ribbon to visit kids battling cancer. So much live from the kids and the nurses were so good to allow and plan for this visit. It was a wonderful experience playing with them and putting a smile on a kid's face,{},4.0,0.751,positive,went organisation called gold ribbon visit kid battling cancer much live kid nurse good allow plan visit wonderful experience playing putting smile kid face,3,Improvement Areas
7,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSUNZeDdYX213RRAB,4,"{'value': 5, 'unit': 'year'}",en,"When visiting a patient there, finding parking was a hustle. Check in lines for when you enter the hospital walking were looooong, you also have to queue to use the lifts. The private ward was really nice though, with good views of Nairobi. Their parking ticket payment is however not automated and there are no signs showing where to pay from. And you can only pay for parking via mpesa",{},7.0,0.4576,neutral,visiting patient finding parking hustle check line enter hospital walking looooong also queue use lift private ward really nice though good view nairobi parking ticket payment however automated sign showing pay pay parking via mpesa,0,Hospital Services
8,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChZDSUhNMG9nS0VJQ0FnSURkdDgyQ0x3EAE,1,"{'value': 5, 'unit': 'month'}",en,"Why would ward 3B look so dilapidated and neglected? The bathrooms very pathetic. When I walked though ward 3A, 3C, and 3D. I automatically could say this either those admitted to ward 3B pay less or something. Please its fair to give the 3C look to 3B. If I pay 12k cash before am admitted to a govt hospital. I deserve better. However I found the services from the hospital generally good.",{},,0.1229,negative,would ward three b look dilapidated neglected bathroom pathetic walked though ward three three c three automatically could say either admitted ward three b pay le something please fair give three c look three b pay twelve k cash admitted govt hospital deserve better however found service hospital generally good,0,Hospital Services
9,ChIJLwCPTuwQLxgRAUdND1TKttY,Kenyatta National Hospital,ChdDSUhNMG9nS0VJQ0FnSURsczR1Qm5nRRAB,5,"{'value': 8, 'unit': 'month'}",en,This hospital environment and the services have improved tremendously!,{},1.0,0.5255,neutral,hospital environment service improved tremendously,0,Hospital Services
