,hospital_name,theme_name,text
0,Kenyatta National Hospital,"Affordability, and Accessibility",Nowadays no unnecessary referrals so the number of people has reduced
1,Kenyatta National Hospital,"Affordability, and Accessibility","The worst experience ever. I have been here since 8am, private wing. Supporsed to see a do tor in room 14. It's now 11:52am almost midday the doctor is not yet here. For how long is someone supposed to wait on the queue. You need to improve the services being a level 5 hospital. Can you get committed doctors who work with normal working hours. Surely we are really failing. The consultation we have paid ksh.2800 is this still not worth it? Wanyonge watatewa na nani?"
2,The Mombasa Hospital,"Affordability, and Accessibility","I am writing to formally express my dissatisfaction with the maternity services at The Mombasa Hospital. Last month, I visited the hospital to begin my prenatal care.
On my first visit, there was no gynecologist available, and I was advised to undergo an ultrasound scan, with the results to be reviewed by the gynecologist the following week.

However, when I returned as instructed, the gynecologist was again unavailable. Instead, I was given folic acid medication by another staff member and was told to return in two weeks, when the gynecologist would supposedly be available. Today, after driving a considerable distance, I was informed that the gynecologist was still not available and was told to return the following day.

The lack of a consistent and reliable schedule for gynecological care has been a significant inconvenience and source of frustration. As a working professional, the repeated need to take time off and travel long distances is both wasteful and disruptive.

Given that The Mombasa Hospital is a prominent private healthcare provider in the area, this lack of organization and communication is particularly disappointing. It is unacceptable that such a facility cannot provide reliable access to essential maternal healthcare services.

I urge others considering their maternity care options to look elsewhere, as my experience has been overwhelmingly negative. The hospital's claim of having only one gynecologist seems questionable and reflects poorly on their ability to provide adequate care.

I hope that this feedback will be taken seriously and that improvements will be made to ensure better service for future patients."
3,Kenyatta National Hospital,"Affordability, and Accessibility",Haunted hospital!
4,Kenyatta National Hospital,"Affordability, and Accessibility",We took our love one who was badly injured was in need of surgery on 1st of 2021 till today on 6th Jan 2021 no surgery as been performed the doctors are full of lies saying his next his next they only give him pain med this is the kind of hospital u see ur loved ones cry for help and nothing is done.
5,Kenyatta National Hospital,"Affordability, and Accessibility","The worst experience ever. I have been here since 8am, private wing. Supporsed to see a do tor in room 14. It's now 11:52am almost midday the doctor is not yet here. For how long is someone supposed to wait on the queue. You need to improve the services being a level 5 hospital. Can you get committed doctors who work with normal working hours. Surely we are really failing. The consultation we have paid ksh.2800 is this still not worth it? Wanyonge watatewa na nani?"
6,Kenyatta National Hospital,"Affordability, and Accessibility","The worst experience ever. I have been here since 8am, private wing. Supporsed to see a do tor in room 14. It's now 11:52am almost midday the doctor is not yet here. For how long is someone supposed to wait on the queue. You need to improve the services being a level 5 hospital. Can you get committed doctors who work with normal working hours. Surely we are really failing. The consultation we have paid ksh.2800 is this still not worth it? Wanyonge watatewa na nani?"
7,Kenyatta National Hospital,"Affordability, and Accessibility","Warning ⚠️
Visit at your own expense."
8,Kenyatta National Hospital,"Affordability, and Accessibility","There's a story that was on telly a few years back on how patients would be on corridors for days waiting to get admitted at KNH without getting a bed. The patients needed urgent medical attention... and the then me, brushed this aside as lies coz I mean, how can a hospital do that? Fast forward to 5th March around noon, I took my 4 month old baby there who was convulsing and had to wait till 11:30pm to get a bed, let alone get admitted. As my baby kept getting convulsion after convulsion, my heart sank. There's a time I watched it happen coz trying to call the doctor who was just in the next consultation room proved useless. Huku, ndo ata upate attention ya daktari ni kujuana. If you don't even know nani wa kupewa kitu kidogo, utangoja hadi wachoke na wewe ndo wakutafutie kitanda! We were at the private wing for slightly over a week and the bill hit the roof with exaggerated figures, cooked numbers and duplicated items. Following up with the Accounts guys turned out to be a wild goose chase. The doctors take their sweet time to ensure you stay for the longest time possible; such a shame! Something that's supposed to take a day will be dragged for at least 3 days. The younger nurses are however really good; then there are the older ones that even shake when administering medication. I thank God my baby got well, but my overall customer experience was simply awful."
9,Kenyatta National Hospital,"Affordability, and Accessibility",Nowadays no unnecessary referrals so the number of people has reduced
10,The Mombasa Hospital,Facility Feedback,You are very poor in terms of delivering babies and you should be ashamed of that keeping in mind your path is to help the sick and you can't even succefully deliver someone's child.Shame on you.
11,Kenyatta National Hospital,Facility Feedback,"Although it had some tough times with the management, it is an hospital that could solve many cases of illness particularly to the common mwananchi."
12,Kenyatta National Hospital,Facility Feedback,This is the worst hospital nowadays u reach here at 5:00am and ur served late like 9:00am they talk rudely something has to be done the waiting area is congested not enough chairs it doesnt even deserve any star
